Address_Town,Education_Sector,School_Type,LGA_Name,X,Y
Alberton,Government,Primary,Wellington (S),146.6666,-38.61771
Allansford,Government,Primary,Warrnambool (C),142.59039,-38.38628
Avoca,Government,Primary,Pyrenees (S),143.47565,-37.0845
Avenel,Government,Primary,Strathbogie (S),145.23472,-36.90137
Warrandyte,Government,Primary,Manningham (C),145.21398,-37.74268
Belmont,Government,Primary,Greater Geelong (C),144.3421,-38.17067
Bacchus Marsh,Government,Primary,Moorabool (S),144.44312,-37.67303
Ballarat,Government,Primary,Ballarat (C),143.85394,-37.56401
Wodonga,Government,Primary,Wodonga (C),146.88982,-36.12921
Berwick,Government,Primary,Casey (C),145.35442,-38.04409
Beaufort,Government,Primary,Pyrenees (S),143.38172,-37.43852
Cheltenham,Government,Primary,Bayside (C),145.05463,-37.96861
Cudgee,Government,Primary,Moyne (S),142.65084,-38.34794
Newport,Government,Primary,Hobsons Bay (C),144.87834,-37.83842
Cavendish,Government,Primary,Southern Grampians (S),142.03989,-37.53087
Colac,Government,Primary,Colac-Otway (S),143.59834,-38.33722
Castlemaine,Government,Primary,Mount Alexander (S),144.22233,-37.0666
Campbells Creek,Government,Primary,Mount Alexander (S),144.20466,-37.09293
Creswick,Government,Primary,Hepburn (S),143.89156,-37.42411
California Gully,Government,Primary,Greater Bendigo (C),144.24986,-36.73321
St Andrews,Government,Primary,Nillumbik (S),145.26983,-37.60232
Warrnambool,Government,Primary,Warrnambool (C),142.4668,-38.36634
Dromana,Government,Primary,Mornington Peninsula (S),144.95965,-38.33964
Doncaster,Government,Primary,Manningham (C),145.12967,-37.7868
Echuca,Government,Primary,Campaspe (S),144.74746,-36.1282
Eltham,Government,Primary,Nillumbik (S),145.1478,-37.72498
Eaglehawk,Government,Primary,Greater Bendigo (C),144.25426,-36.72058
Elphinstone,Government,Primary,Mount Alexander (S),144.3329,-37.105
Hallam,Government,Primary,Casey (C),145.25824,-38.00176
Flemington,Government,Primary,Moonee Valley (C),144.93392,-37.78067
Footscray,Government,Primary,Maribyrnong (C),144.89267,-37.79838
Gisborne,Government,Primary,Macedon Ranges (S),144.58844,-37.49086
Sandringham,Government,Primary,Bayside (C),145.00947,-37.94704
Wandiligong,Government,Primary,Alpine (S),146.98292,-36.76886
Grovedale,Government,Primary,Greater Geelong (C),144.34776,-38.19764
Hawthorn,Government,Primary,Boroondara (C),145.01838,-37.82011
Heidelberg,Government,Primary,Banyule (C),145.0678,-37.7547
Hamilton,Government,Primary,Southern Grampians (S),142.02138,-37.74491
Heathcote,Government,Primary,Greater Bendigo (C),144.70685,-36.92401
Highton,Government,Primary,Greater Geelong (C),144.31708,-38.17216
Huntly,Government,Primary,Greater Bendigo (C),144.3344,-36.66254
Bellbrae,Government,Primary,Surf Coast (S),144.263,-38.33364
Chiltern,Government,Primary,Indigo (S),146.6066,-36.14707
Kyneton,Government,Primary,Macedon Ranges (S),144.46269,-37.24889
Romsey,Government,Primary,Macedon Ranges (S),144.74538,-37.35418
Shelford,Government,Primary,Golden Plains (S),143.98214,-38.01399
Lockwood South,Government,Primary,Greater Bendigo (C),144.15675,-36.8416
Marong,Government,Primary,Greater Bendigo (C),144.13537,-36.73568
Mount Macedon,Government,Primary,Macedon Ranges (S),144.58413,-37.40479
Mount Clear,Government,Primary,Ballarat (C),143.86837,-37.60474
Melton,Government,Primary,Melton (C),144.58702,-37.68046
Fitzroy,Government,Primary,Yarra (C),144.98151,-37.7996
Newstead,Government,Primary,Mount Alexander (S),144.06719,-37.10592
Newlyn,Government,Primary,Hepburn (S),143.98443,-37.41202
Burwood East,Government,Primary,Whitehorse (C),145.15181,-37.85973
New Gisborne,Government,Primary,Macedon Ranges (S),144.59658,-37.46289
Beeac,Government,Primary,Colac-Otway (S),143.64428,-38.19397
Essendon,Government,Primary,Moonee Valley (C),144.92104,-37.7531
Coburg,Government,Primary,Merri-bek (C),144.96821,-37.7413
Penshurst,Government,Primary,Southern Grampians (S),142.29133,-37.87918
Myrniong,Government,Primary,Moorabool (S),144.34632,-37.61972
Mernda,Government,Primary,Whittlesea (C),145.09224,-37.5946
Portland,Government,Primary,Glenelg (S),141.59941,-38.3473
Stawell,Government,Primary,Northern Grampians (S),142.77378,-37.05613
Rutherglen,Government,Primary,Indigo (S),146.46061,-36.05621
Riddells Creek,Government,Primary,Macedon Ranges (S),144.67978,-37.46122
Rokewood,Government,Primary,Golden Plains (S),143.72281,-37.90366
Geelong East,Government,Primary,Greater Geelong (C),144.38277,-38.17551
Sale,Government,Primary,Wellington (S),147.07364,-38.1083
Skipton,Government,Primary,Corangamite (S),143.36816,-37.68686
South Yarra,Government,Primary,Melbourne (C),144.98562,-37.84135
Stratford,Government,Primary,Wellington (S),147.08539,-37.96725
Taradale,Government,Primary,Mount Alexander (S),144.35106,-37.14131
Koroit,Government,Primary,Moyne (S),142.3687,-38.29244
Tylden,Government,Primary,Macedon Ranges (S),144.40878,-37.32497
Thomastown,Government,Primary,Whittlesea (C),145.0115,-37.68227
Wangaratta,Government,Primary,Wangaratta (RC),146.32942,-36.35528
Wahgunyah,Government,Primary,Indigo (S),146.39792,-36.01365
Woodend,Government,Primary,Macedon Ranges (S),144.53294,-37.35342
Woodford,Government,Primary,Warrnambool (C),142.4845,-38.31681
Werribee,Government,Primary,Wyndham (C),144.65874,-37.90687
Castlemaine,Government,Primary,Mount Alexander (S),144.20749,-37.07016
Wooragee,Government,Primary,Indigo (S),146.73088,-36.29048
Wallan,Government,Primary,Mitchell (S),144.97504,-37.41146
Woolsthorpe,Government,Primary,Moyne (S),142.43176,-38.18741
Yandoit,Government,Primary,Hepburn (S),144.08844,-37.214
Yarram,Government,Primary,Wellington (S),146.67532,-38.55853
Lake Wendouree,Government,Primary,Ballarat (C),143.8385,-37.55633
Yea,Government,Primary,Murrindindi (S),145.4283,-37.21273
Lancefield,Government,Primary,Macedon Ranges (S),144.72642,-37.27495
