Rooms,Type,Price,Distance,Bedroom,Bathroom,Car,Landsize,Lattitude,Longtitude,Regionname,Total_Schools_per_Region
2,h,1480000,2.5,2,1,1,202,-37.7996,144.9984,Northern Metropolitan,239
2,h,1035000,2.5,2,1,0,156,-37.8079,144.9934,Northern Metropolitan,239
3,h,1465000,2.5,3,2,0,134,-37.8093,144.9944,Northern Metropolitan,239
3,h,850000,2.5,3,2,1,94,-37.7969,144.9969,Northern Metropolitan,239
4,h,1600000,2.5,3,1,2,120,-37.8072,144.9941,Northern Metropolitan,239
2,h,941000,2.5,2,1,0,181,-37.8041,144.9953,Northern Metropolitan,239
3,h,1876000,2.5,4,2,0,245,-37.8024,144.9993,Northern Metropolitan,239
2,h,1636000,2.5,2,1,2,256,-37.806,144.9954,Northern Metropolitan,239
1,u,300000,2.5,1,1,1,0,-37.8008,144.9973,Northern Metropolitan,239
2,h,1097000,2.5,3,1,2,220,-37.801,144.9989,Northern Metropolitan,239
2,u,700000,2.5,2,2,1,0,-37.811,145.0067,Northern Metropolitan,239
3,h,1350000,2.5,3,2,2,214,-37.8085,144.9964,Northern Metropolitan,239
2,u,750000,2.5,2,2,1,0,-37.8078,144.9965,Northern Metropolitan,239
4,h,1985000,2.5,3,1,2,512,-37.8084,144.9942,Northern Metropolitan,239
2,h,1172500,2.5,2,1,1,195,-37.8084,144.9973,Northern Metropolitan,239
1,u,441000,2.5,1,1,1,0,-37.8016,144.9988,Northern Metropolitan,239
2,h,1310000,2.5,2,1,2,238,-37.809,144.9976,Northern Metropolitan,239
3,h,1200000,2.5,3,2,1,113,-37.8056,144.993,Northern Metropolitan,239
3,h,1176500,2.5,2,1,1,138,-37.8021,144.9965,Northern Metropolitan,239
3,h,955000,2.5,3,1,0,183,-37.8022,144.9975,Northern Metropolitan,239
2,h,890000,2.5,2,1,1,150,-37.8011,145.0004,Northern Metropolitan,239
4,h,1330000,2.5,4,2,2,780,-37.8073,144.9952,Northern Metropolitan,239
3,t,900000,2.5,3,2,2,0,-37.8093,144.9959,Northern Metropolitan,239
3,u,1090000,2.5,3,2,2,4290,-37.8078,144.9965,Northern Metropolitan,239
2,u,500000,2.5,2,1,1,0,-37.8015,144.9972,Northern Metropolitan,239
2,h,1100000,2.5,2,2,1,124,-37.8079,144.9977,Northern Metropolitan,239
2,h,1315000,2.5,2,1,0,147,-37.808,144.994,Northern Metropolitan,239
1,u,426000,2.5,1,1,1,0,-37.8016,144.9988,Northern Metropolitan,239
3,h,1447500,2.5,3,3,1,166,-37.8017,145.0001,Northern Metropolitan,239
1,u,457000,2.5,1,1,1,0,-37.8078,144.9965,Northern Metropolitan,239
2,h,1135000,2.5,2,2,2,98,-37.8005,144.9952,Northern Metropolitan,239
4,h,1542000,2.5,4,3,1,0,-37.7994,144.9965,Northern Metropolitan,239
3,t,962000,2.5,3,1,2,512,-37.7972,144.9969,Northern Metropolitan,239
3,h,1290000,2.5,3,2,2,147,-37.805,144.9943,Northern Metropolitan,239
3,h,1290000,2.5,3,1,1,168,-37.8007,144.9958,Northern Metropolitan,239
1,u,470000,2.5,1,1,1,0,-37.8055,144.9961,Northern Metropolitan,239
