Type,Region,Price,Distance_from_CBD,Rooms,Bathroom,Car_Spot,Schooling_Facilities
0,2,1480000.0,2.5,2,1.0,1.0,239.0
0,2,1035000.0,2.5,2,1.0,0.0,239.0
0,2,1465000.0,2.5,3,2.0,0.0,239.0
0,2,850000.0,2.5,3,2.0,1.0,239.0
0,2,1600000.0,2.5,4,1.0,2.0,239.0
0,2,941000.0,2.5,2,1.0,0.0,239.0
0,2,1876000.0,2.5,3,2.0,0.0,239.0
0,2,1636000.0,2.5,2,1.0,2.0,239.0
0,2,1000000.0,2.5,3,1.0,0.0,239.0
1,2,745000.0,2.5,2,1.0,0.0,239.0
2,2,300000.0,2.5,1,1.0,1.0,239.0
0,2,1097000.0,2.5,2,1.0,2.0,239.0
2,2,542000.0,2.5,2,1.0,0.0,239.0
2,2,760000.0,2.5,2,1.0,0.0,239.0
2,2,481000.0,2.5,1,1.0,0.0,239.0
2,2,700000.0,2.5,2,2.0,1.0,239.0
0,2,1350000.0,2.5,3,2.0,2.0,239.0
2,2,750000.0,2.5,2,2.0,1.0,239.0
0,2,1985000.0,2.5,4,1.0,0.0,239.0
2,2,500000.0,2.5,1,1.0,0.0,239.0
0,2,1172500.0,2.5,2,1.0,1.0,239.0
2,2,441000.0,2.5,1,1.0,1.0,239.0
0,2,1310000.0,2.5,2,1.0,2.0,239.0
0,2,1200000.0,2.5,3,2.0,1.0,239.0
1,2,847000.0,2.5,2,1.0,0.0,239.0
0,2,1176500.0,2.5,3,1.0,1.0,239.0
0,2,955000.0,2.5,3,1.0,0.0,239.0
0,2,890000.0,2.5,2,1.0,1.0,239.0
0,2,1330000.0,2.5,4,2.0,2.0,239.0
1,2,900000.0,2.5,3,2.0,2.0,239.0
2,2,1090000.0,2.5,3,2.0,2.0,239.0
2,2,500000.0,2.5,2,1.0,1.0,239.0
0,2,1100000.0,2.5,2,2.0,1.0,239.0
0,2,1315000.0,2.5,2,1.0,0.0,239.0
2,2,480000.0,2.5,1,1.0,0.0,239.0
2,2,423500.0,2.5,1,1.0,0.0,239.0
2,2,426000.0,2.5,1,1.0,1.0,239.0
0,2,1447500.0,2.5,3,3.0,1.0,239.0
2,2,457000.0,2.5,1,1.0,1.0,239.0
0,2,1135000.0,2.5,2,2.0,2.0,239.0
0,2,700000.0,2.5,2,1.0,0.0,239.0
0,2,1542000.0,2.5,4,3.0,1.0,239.0
1,2,962000.0,2.5,3,1.0,0.0,239.0
0,2,1290000.0,2.5,3,2.0,2.0,239.0
0,2,1290000.0,2.5,3,1.0,1.0,239.0
2,2,470000.0,2.5,1,1.0,1.0,239.0
0,2,1180000.0,2.5,2,1.0,0.0,239.0
0,2,1195000.0,2.5,3,2.0,1.0,239.0
0,2,1012500.0,2.5,2,1.0,0.0,239.0
2,2,970000.0,2.5,2,1.0,0.0,239.0
0,2,1030000.0,2.5,2,1.0,1.0,239.0
0,2,927000.0,2.5,3,1.0,0.0,239.0
1,6,840000.0,13.5,3,2.0,1.0,229.0
0,6,730000.0,13.5,3,2.0,1.0,229.0
0,6,770000.0,13.5,3,2.0,1.0,229.0
0,6,603000.0,13.5,2,1.0,1.0,229.0
1,6,700000.0,13.5,3,2.0,2.0,229.0
0,6,600000.0,13.5,3,1.0,1.0,229.0
2,6,500000.0,13.5,2,1.0,1.0,229.0
1,6,420000.0,13.5,2,1.0,0.0,229.0
1,6,500000.0,13.5,3,1.0,0.0,229.0
0,6,1035000.0,13.5,5,1.0,0.0,229.0
0,6,960000.0,13.5,4,1.0,0.0,229.0
0,6,720000.0,13.5,3,1.0,1.0,229.0
0,6,785000.0,13.5,4,1.0,2.0,229.0
0,6,725000.0,13.5,6,3.0,2.0,229.0
1,6,450000.0,13.5,2,1.0,1.0,229.0
2,6,515000.0,13.5,2,1.0,1.0,229.0
