Suburb,Number_of_Schools
Abbotsford,2
Aberfeldie,2
Airport West,1
Albanvale,1
Albert Park,3
Albion,2
Alphington,3
Altona,4
Altona Meadows,3
Altona North,3
Ardeer,2
Armadale,3
Ascot Vale,4
Ashburton,3
Ashwood,4
Aspendale,3
Aspendale Gardens,1
Attwood,0
Avondale Heights,2
Avonsleigh,0
Bacchus Marsh,5
Balaclava,0
Balwyn,4
Balwyn North,7
Bayswater,5
Bayswater North,1
Beaconsfield,2
Beaconsfield Upper,1
Beaumaris,4
Belgrave,2
Bellfield,1
Bentleigh,4
Bentleigh East,5
Berwick,12
Black Rock,2
Blackburn,5
Blackburn North,3
Blackburn South,3
Bonbeach,1
Boronia,5
Botanic Ridge,1
Box Hill,4
Braybrook,6
Briar Hill,2
Brighton,8
Brighton East,4
Broadmeadows,10
Brookfield,1
Brooklyn,1
Brunswick,2
Brunswick East,3
Brunswick West,4
Bulla,0
Bulleen,3
Bullengarook,0
Bundoora,7
Burnley,0
Burnside,1
Burnside Heights,1
Burwood,3
Burwood East,5
Cairnlea,2
Camberwell,3
Campbellfield,1
Canterbury,6
Carlton,2
Carlton North,2
Carnegie,1
Caroline Springs,8
Carrum,1
Carrum Downs,4
Caulfield,1
Caulfield East,1
Caulfield North,2
Caulfield South,4
Chadstone,2
Chelsea,2
Chelsea Heights,1
Cheltenham,6
Chirnside Park,2
Clarinda,2
Clayton,4
Clayton South,5
Clifton Hill,3
Clyde North,5
Coburg,9
Coburg North,0
Coldstream,2
Collingwood,3
Coolaroo,2
Craigieburn,11
Cranbourne,11
Cranbourne East,6
Cranbourne North,3
Cranbourne West,3
Cremorne,0
Croydon,7
Croydon Hills,3
Croydon North,2
Croydon South,1
Dallas,3
Dandenong,9
Dandenong North,5
Darley,1
Deepdene,2
Deer Park,3
Delahey,2
Derrimut,2
Diamond Creek,4
Diggers Rest,1
Dingley Village,2
Docklands,1
Doncaster,4
Doncaster East,6
Donvale,5
Doreen,6
Doveton,2
Eaglemont,0
East Melbourne,0
Edithvale,1
Elsternwick,4
Eltham,5
Eltham North,4
Elwood,4
Emerald,3
Endeavour Hills,10
Epping,9
Essendon,8
Essendon North,1
Essendon West,0
Eumemmerring,0
Eynesbury,1
Fairfield,1
Fawkner,4
Fawkner Lot,0
Ferntree Gully,10
Ferny Creek,1
Fitzroy,3
Fitzroy North,4
Flemington,4
Footscray,6
Forest Hill,1
Frankston,15
Frankston North,3
Frankston South,3
Gardenvale,0
Gisborne,4
Gisborne South,0
Gladstone Park,4
Glen Huntly,2
Glen Iris,6
Glen Waverley,13
Glenroy,7
Gowanbrae,0
Greensborough,7
Greenvale,6
Guys Hill,0
Hadfield,1
Hallam,2
Hampton,3
Hampton East,1
Hampton Park,6
Hawthorn,8
Hawthorn East,5
Healesville,5
Heatherton,0
Heathmont,4
Heidelberg,4
Heidelberg Heights,0
Heidelberg West,1
Highett,1
Hillside,2
